id,Source,target(zh-CN),target(en-US),target(zh-HK)
ccfe-000001516,设备规则,设备规则,Equipment rules,設備規則
ccfe-000001517,"1.按USB重定向设备规则明细，单策略最多可配置50条规则；
2.策略生效优先级：自定义usb策略＞普通外设策略＞本地电脑策略，其中自定义usb策略执行精细化匹配原则，越精确匹配优先级越高，即：设备类型+VID+PID>设备类型+VID>设备类型；
3.键盘、鼠标本身可用，重定向（配置白名单规则）后存在不可用问题，建议不要配置该部分设备类型的白名单规则；","1.按USB重定向设备规则明细，单策略最多可配置50条规则；
2.策略生效优先级：自定义usb策略＞普通外设策略＞本地电脑策略，其中自定义usb策略执行精细化匹配原则，越精确匹配优先级越高，即：设备类型+VID+PID>设备类型+VID>设备类型；
3.键盘、鼠标本身可用，重定向（配置白名单规则）后存在不可用问题，建议不要配置该部分设备类型的白名单规则；","1. According to the details of USB redirection device rules, 50 rules can be configured for a single policy at most;",1.按USB重定向設備規則明細，單策略最多可配置50條規則；\n2.策略生效優先級：自定義usb策略＞普通外設策略＞本地電腦策略，其中自定義usb策略執行精細化匹配原則，越精確匹配優先級越高，即：設備類型+VID+PID>設備類型+VID>設備類型；\n3.鍵盤、鼠標本身可用，重定向（配置白名單規則）後存在不可用問題，建議不要配置該部分設備類型的白名單規則；
ccfe-000001518,序号,序号,S/N,序號
ccfe-000001519,厂商ID（VID),厂商ID（VID),Vendor ID (VID),廠商ID（VID)
ccfe-000001520,型号ID（PID),型号ID（PID),Model ID (PID),型號ID（PID)
ccfe-000001521,黑白名单,黑白名单,Black and white list,黑白名單
ccfe-000001522,白名单,白名单,White list,白名單
ccfe-000001523,客户端重连的时间间隙（单位/秒）,客户端重连的时间间隙（单位/秒）,Time interval of client reconnection (unit/second),客戶端重連的時間間隙（單位/秒）
ccfe-000001524,范围为1-50,范围为1-50,Range 1-50,範圍為1-50
ccfe-000001525,客户端重连的总时间（单位/秒）,客户端重连的总时间（单位/秒）,Total time of client reconnection (unit/second),客戶端重連的總時間（單位/秒）
ccfe-000001526,范围为1-180,范围为1-180,Range 1-180,範圍為1-180
ccfe-000001527,关闭终端电源,关闭终端电源,Turn off terminal power,關閉終端電源
ccfe-000001528,关闭电脑电源,关闭电脑电源,Turn off the computer,關閉電腦電源
ccfe-000001529,自动断开电脑连接,自动断开电脑连接,Automatically disconnect the computer,自動斷開電腦連接
ccfe-000001530,客户端启动模式,客户端启动模式,Client startup mode,客戶端啟動模式
ccfe-000001531,"启动模式优先级：客户端优先则保留客户端启动模式设置；策略优先则客户端不可设置、以策略设置为准
常规模式：不限制本地系统功能，可以在本地系统和云桌面客户端之间自由切换
锁定模式：本地系统启动后自动运行云桌面客户端，屏蔽本地系统所有功能，无法切换到本地系统，无法直接使用本地的其他应用及资源。","启动模式优先级：客户端优先则保留客户端启动模式设置；策略优先则客户端不可设置、以策略设置为准
常规模式：不限制本地系统功能，可以在本地系统和云桌面客户端之间自由切换
锁定模式：本地系统启动后自动运行云桌面客户端，屏蔽本地系统所有功能，无法切换到本地系统，无法直接使用本地的其他应用及资源。","Startup mode priority: if the client has priority, the client startup mode setting will be retained; If the policy takes precedence, the client cannot be set. The policy setting shall prevail",啟動模式優先級：客戶端優先則保留客戶端啟動模式設置；策略優先則客戶端不可設置、以策略設置為準\n常規模式：不限制本地系統功能，可以在本地系統和雲桌面客戶端之間自由切換\n鎖定模式：本地系統啟動後自動運行雲桌面客戶端，屏蔽本地系統所有功能，無法切換到本地系統，無法直接使用本地的其他應用及資源。
ccfe-000001532,客户端优先,客户端优先,Client first,客戶端優先
ccfe-000001533,策略优先,策略优先,Strategy priority,策略優先
ccfe-000001534,常规模式,常规模式,General mode,常規模式
ccfe-000001535,锁定模式,锁定模式,Lock Mode,鎖定模式
ccfe-000001536,添加白名单,添加白名单,Add white list,添加白名單
ccfe-000001537,MAC地址规则（格式：38:f9:d3:84:45:5d）,MAC地址规则（格式：38:f9:d3:84:45:5d）,MAC address rules (format: 38: f9: d3:84:45:5d),MAC地址規則（格式：38:f9:d3:84:45:5d）
ccfe-000001538,是否允许修改云电脑名称,是否允许修改云电脑名称,Allow to modify the cloud PC name,是否允許修改雲電腦名稱
ccfe-000001539,"开启：允许客户端修改云电脑名称；
关闭：不允许客户端修改云电脑名称。","开启：允许客户端修改云电脑名称；
关闭：不允许客户端修改云电脑名称。",On: allows the client to modify the cloud computer name;,開啟：允許客戶端修改雲電腦名稱；\n關閉：不允許客戶端修改雲電腦名稱。
ccfe-000001540,禁止终端类型,禁止终端类型,Prohibited terminal type,禁止終端類型
ccfe-000001541,关机设置,关机设置,Shutdown settings,關機設置
ccfe-000001542,用于设置客户端在工具栏点击“关机”或在桌面列表点击“关机”时初始化执行操作，适用于安卓一体机和UOS一体机,用于设置客户端在工具栏点击“关机”或在桌面列表点击“关机”时初始化执行操作，适用于安卓一体机和UOS一体机,"It is used to set the client to initialize the operation when clicking ""Shutdown"" in the toolbar or ""Shutdown"" in the desktop list. It is applicable to Android all-in-one machine and UOS all-in-one machine",用於設置客戶端在工具欄點擊“關機”或在桌面列表點擊“關機”時初始化執行操作，適用於安卓一體機和UOS一體機
ccfe-000001543,默认,默认,default,默認
ccfe-000001544,仅云电脑关机,仅云电脑关机,Only the cloud PC is powered off,僅雲電腦關機
ccfe-000001545,仅终端设备关机,仅终端设备关机,Only the terminal device shuts down,僅終端設備關機
ccfe-000001546,云电脑和终端设备一起关机,云电脑和终端设备一起关机,Shut down the cloud computer and the terminal device together,雲電腦和終端設備一起關機
ccfe-000001547,重启设置,重启设置,Restart settings,重啟設置
ccfe-000001548,用于设置客户端在工具栏点击“重启”或在桌面列表点击“重启”时初始化执行操作，适用于安卓一体机和UOS一体机,用于设置客户端在工具栏点击“重启”或在桌面列表点击“重启”时初始化执行操作，适用于安卓一体机和UOS一体机,"It is used to set the client to initialize the execution when clicking ""Restart"" in the toolbar or ""Restart"" in the desktop list. It is applicable to Android all-in-one machine and UOS all-in-one machine",用於設置客戶端在工具欄點擊“重啟”或在桌面列表點擊“重啟”時初始化執行操作，適用於安卓一體機和UOS一體機
ccfe-000001549,仅云电脑重启,仅云电脑重启,Only restart the cloud computer,僅雲電腦重啟
ccfe-000001550,仅终端设备重启,仅终端设备重启,Terminal device restart only,僅終端設備重啟
ccfe-000001551,云电脑和终端设备一起重启,云电脑和终端设备一起重启,Restart the cloud computer and the terminal device together,雲電腦和終端設備一起重啟
ccfe-000001552,大屏客户端,大屏客户端,Large screen client,大屏客戶端
ccfe-000001553,大屏客户端包括：Windows客户端、MAC客户端、定制终端客户端,大屏客户端包括：Windows客户端、MAC客户端、定制终端客户端,"Large screen clients include: Windows client, MAC client, customized terminal client",大屏客戶端包括：Windows客戶端、MAC客戶端、定製終端客戶端
ccfe-000001554,移动客户端,移动客户端,Mobile client,移動客戶端
ccfe-000001555,移动客户端包括：Android客户端、IOS客户端,移动客户端包括：Android客户端、IOS客户端,"Mobile clients include: Android client, IOS client",移動客戶端包括：Android客戶端、IOS客戶端
ccfe-000001556,网络检测,网络检测,Network detection,網絡檢測
ccfe-000001557,帮助,帮助,help,幫助
ccfe-000001558,最小化,最小化,minimize,最小化
ccfe-000001559,Android瘦终端不支持,Android瘦终端不支持,Android thin terminal does not support,Android瘦終端不支持
ccfe-000001560,窗口化,窗口化,Windowing,窗口化
ccfe-000001561,退出,退出,quit,退出
ccfe-000001562,管理,管理,Administration,管理
ccfe-000001563,USB带宽控制量,USB带宽控制量,USB bandwidth control amount,USB帶寬控制量
ccfe-000001564,文件剪贴板带宽控制量,文件剪贴板带宽控制量,File clipboard bandwidth control amount,文件剪貼板帶寬控制量
ccfe-000001565,磁盘映射带宽控制量,磁盘映射带宽控制量,Disk mapping bandwidth control amount,磁盤映射帶寬控制量
ccfe-000001566,图流设置,图流设置,Graph Stream Settings,圖流設置
ccfe-000001567,桌面模式,桌面模式,Desktop mode,桌面模式
ccfe-000001568,采用YUV444图像格式，优先保证清晰度，在网络或终端性能较差的情况下，可能会有卡顿和迟滞的情况，设置后重连云电脑生效,采用YUV444图像格式，优先保证清晰度，在网络或终端性能较差的情况下，可能会有卡顿和迟滞的情况，设置后重连云电脑生效,"YUV444 image format is adopted to give priority to ensuring the clarity. In case of poor network or terminal performance, there may be stuck and hysteresis. After setting, it will take effect again on the cloud computer",採用YUV444圖像格式，優先保證清晰度，在網絡或終端性能較差的情況下，可能會有卡頓和遲滯的情況，設置後重連雲電腦生效
ccfe-000001569,自适应模式,自适应模式,Adaptive mode,自適應模式
ccfe-000001570,YUV444图像格式与YUV420图像格式自适应，兼顾流畅度和清晰度，设置后重连云电脑生效,YUV444图像格式与YUV420图像格式自适应，兼顾流畅度和清晰度，设置后重连云电脑生效,"YUV444 image format is adaptive to YUV420 image format, giving consideration to smoothness and clarity. After setting, it will take effect again on the cloud computer",YUV444圖像格式與YUV420圖像格式自適應，兼顧流暢度和清晰度，設置後重連雲電腦生效
ccfe-000001571,图像上限帧率,图像上限帧率,Upper frame rate of image,圖像上限幀率
ccfe-000001572,帧率越高越流畅，对终端性能和带宽的要求越高，设置后重连云电脑生效,帧率越高越流畅，对终端性能和带宽的要求越高，设置后重连云电脑生效,"The higher the frame rate, the smoother it will be, and the higher the requirements for terminal performance and bandwidth will be. After setting, it will take effect again on the cloud computer",幀率越高越流暢，對終端性能和帶寬的要求越高，設置後重連雲電腦生效
ccfe-000001573,图像画质,图像画质,Image quality,圖像畫質
ccfe-000001574,图像画质越清晰，对终端性能和带宽的要求越高，设置后重连云电脑生效,图像画质越清晰，对终端性能和带宽的要求越高，设置后重连云电脑生效,"The clearer the image quality is, the higher the requirements for terminal performance and bandwidth will be. After setting, it will take effect again through cloud computing",圖像畫質越清晰，對終端性能和帶寬的要求越高，設置後重連雲電腦生效
ccfe-000001575,标清,标清,Standard definition,標清
ccfe-000001576,高清,高清,HD,高清
ccfe-000001577,超清,超清,UHD,超清
ccfe-000001578,音频模式,音频模式,Audio mode,音頻模式
ccfe-000001579,客户端默认使用控制台下发的音频模式，若用户在客户端设置音频模式，则以客户端设置优先。控制台设置后重连后生效。,客户端默认使用控制台下发的音频模式，若用户在客户端设置音频模式，则以客户端设置优先。控制台设置后重连后生效。,"The client uses the audio mode issued by the console by default. If the user sets the audio mode on the client, the client setting takes precedence. It takes effect after the console is reconnected after setting.",客戶端默認使用控制檯下發的音頻模式，若用戶在客戶端設置音頻模式，則以客戶端設置優先。控制檯設置後重連後生效。
ccfe-000001580,默认模式,默认模式,Default Mode,默認模式
ccfe-000001581,"该模式不对音频数据进行时序处理，接收到音频数据时直接进行解码播放
优点：速度最快，延迟最低；
缺点：网络状况波动时，容易出现杂音，杂音频率较高","该模式不对音频数据进行时序处理，接收到音频数据时直接进行解码播放
优点：速度最快，延迟最低；
缺点：网络状况波动时，容易出现杂音，杂音频率较高","This mode does not perform timing processing on audio data, and decodes and plays audio data directly when it is received",該模式不對音頻數據進行時序處理，接收到音頻數據時直接進行解碼播放\n優點：速度最快，延遲最低；\n缺點：網絡狀況波動時，容易出現雜音，雜音頻率較高
ccfe-000001582,能够满足大部分用户音频场景,能够满足大部分用户音频场景,It can meet most users' audio scenarios,能夠滿足大部分用戶音頻場景
ccfe-000001583,加速模式,加速模式,Acceleration mode,加速模式
ccfe-000001584,"该模式对时间戳低于上一音频帧的时间戳的数据进行丢弃，即放弃延迟到达的音频帧，仅播放时序上比上一帧音频帧晚的视频
优点：播放的始终是最新的音频，时效性更高，听感延迟低
缺点：丢弃延迟的音频等效于使用静音弥补缺失的部分，会造成间断","该模式对时间戳低于上一音频帧的时间戳的数据进行丢弃，即放弃延迟到达的音频帧，仅播放时序上比上一帧音频帧晚的视频
优点：播放的始终是最新的音频，时效性更高，听感延迟低
缺点：丢弃延迟的音频等效于使用静音弥补缺失的部分，会造成间断","This mode discards the data whose timestamp is lower than that of the previous audio frame, that is, discards the delayed audio frame, and only plays the video whose timing is later than that of the previous audio frame",該模式對時間戳低於上一音頻幀的時間戳的數據進行丟棄，即放棄延遲到達的音頻幀，僅播放時序上比上一幀音頻幀晚的視頻\n優點：播放的始終是最新的音頻，時效性更高，聽感延遲低\n缺點：丟棄延遲的音頻等效於使用靜音彌補缺失的部分，會造成間斷
ccfe-000001585,网络不稳定时，语音频繁加速，适合对演示要求较高的会议/通话场景,网络不稳定时，语音频繁加速，适合对演示要求较高的会议/通话场景,"When the network is unstable, voice frequently accelerates, which is suitable for meeting/call scenarios with high requirements for presentation",網絡不穩定時，語音頻繁加速，適合對演示要求較高的會議/通話場景
ccfe-000001586,流畅模式,流畅模式,Smooth mode,流暢模式
ccfe-000001587,该模式保证音频帧的完整性和时序性，使用队列对数据进行缓冲提前到达的音频帧，当获取到上一次播放的下一帧后，将队列里的数据全量播放。缺点，会使得整个音频时序均延迟。,该模式保证音频帧的完整性和时序性，使用队列对数据进行缓冲提前到达的音频帧，当获取到上一次播放的下一帧后，将队列里的数据全量播放。缺点，会使得整个音频时序均延迟。,"This mode ensures the integrity and timing of audio frames. Queue is used to buffer the data of audio frames that arrive in advance. When the next frame played last time is acquired, the data in the queue will be played in full. The disadvantage is that the whole audio sequence will be delayed.",該模式保證音頻幀的完整性和時序性，使用隊列對數據進行緩衝提前到達的音頻幀，當獲取到上一次播放的下一幀後，將隊列裡的數據全量播放。缺點，會使得整個音頻時序均延遲。
ccfe-000001588,网络不稳定时有限缓存数据，不会频繁加速，适合对演示不是特别敏感的场景及用户,网络不稳定时有限缓存数据，不会频繁加速，适合对演示不是特别敏感的场景及用户,"When the network is unstable, the data is limited to cache and will not be accelerated frequently. It is suitable for scenarios and users who are not particularly sensitive to the demonstration",網絡不穩定時有限緩存數據，不會頻繁加速，適合對演示不是特別敏感的場景及用戶
ccfe-000001589,选择资源池、可用区及网络工作区后展示相应的策略配置项,选择资源池、可用区及网络工作区后展示相应的策略配置项,"Select resource pool, availability zone and network work area to display corresponding policy configuration items",選擇資源池、可用區及網絡工作區後展示相應的策略配置項
ccfe-000001590,立即创建,立即创建,Create Now,立即創建
ccfe-000001591,策略名称字段必填,策略名称字段必填,Policy name field is required,策略名稱字段必填
ccfe-000001592,格式有误，仅允许输入数字、字母、中文、-、_组成且不能以_和-开头,格式有误，仅允许输入数字、字母、中文、-、_组成且不能以_和-开头,"Incorrect format. Only numbers, letters, Chinese, -, _ can be entered and cannot start with _ and -",格式有誤，僅允許輸入數字、字母、中文、-、_組成且不能以_和-開頭
ccfe-000001593,资源池字段必填,资源池字段必填,Resource pool field is required,資源池字段必填
ccfe-000001594,可用区字段必填,可用区字段必填,Zone field is required,可用區字段必填
ccfe-000001595,网络可用区字段必填,网络可用区字段必填,Network zone field is required,網絡可用區字段必填
ccfe-000001596,云电脑id,云电脑id,Cloud Computer ID,雲電腦id
ccfe-000001597,云电脑ip地址,云电脑ip地址,Cloud computer IP address,雲電腦ip地址
ccfe-000001598,云电脑Mac地址,云电脑Mac地址,Cloud PC Mac address,雲電腦Mac地址
ccfe-000001599,自定义字段,自定义字段,Custom Field,自定義字段
ccfe-000001600,从不,从不,never,從不
ccfe-000001601,1分钟,1分钟,1 minute,1分鐘
ccfe-000001602,3分钟,3分钟,3 minutes,3分鐘
ccfe-000001603,5分钟,5分钟,5 minutes,5分鐘
ccfe-000001604,10分钟,10分钟,10 minutes,10分鐘
ccfe-000001605,15分钟,15分钟,15 minutes,15分鐘
ccfe-000001606,20分钟,20分钟,20 minutes,20分鐘
ccfe-000001607,30分钟,30分钟,30 minutes,30分鐘
ccfe-000001608,45分钟,45分钟,45 minutes,45分鐘
ccfe-000001609,1小时,1小时,1 hour,1小時
ccfe-000001610,2小时,2小时,2 hours,2小時
ccfe-000001611,3小时,3小时,3 hours,3小時
ccfe-000001612,4小时,4小时,4 hours,4小時
ccfe-000001613,5小时,5小时,5 hours,5小時
ccfe-000001614,扫描仪,扫描仪,scanner,掃描儀
ccfe-000001615,打印机,打印机,printer,打印機
ccfe-000001616,存储设备,存储设备,storage device,存儲設備
ccfe-000001617,智能卡,智能卡,smart card,智能卡
ccfe-000001618,无线设备,无线设备,"wireless device ",無線設備
ccfe-000001619,其他设备,其他设备,Other equipment,其他設備
ccfe-000001620,6小时,6小时,6 hours,6小時
ccfe-000001621,8小时,8小时,8 hours,8小時
ccfe-000001622,24小时,24小时,24 hours,24小時
ccfe-000001623,36小时,36小时,36 hours,36小時
ccfe-000001624,48小时,48小时,48 hours,48小時
ccfe-000001625,60小时,60小时,60 hours,60小時
ccfe-000001626,72小时,72小时,72 hours,72小時
ccfe-000001627,新增失败，一条自定义高级策略最多允许配置50条规则,新增失败，一条自定义高级策略最多允许配置50条规则,Failed to add. A custom advanced policy can be configured with 50 rules at most,新增失敗，一條自定義高級策略最多允許配置50條規則
ccfe-000001628,水印颜色设置错误，请从色卡中选择颜色,水印颜色设置错误，请从色卡中选择颜色,"Watermark color setting error, please select a color from the color card",水印顏色設置錯誤，請從色卡中選擇顏色
ccfe-000001629,提交成功,提交成功,Submitted successfully,提交成功
ccfe-000001630,手机,手机,mobile phone,手機
ccfe-000001631,请输入联系人手机号,请输入联系人手机号,Please enter the phone number of the contact person,請輸入聯繫人手機號
ccfe-000001632,请输入联系人邮箱,请输入联系人邮箱,Please enter the contact email,請輸入聯繫人郵箱
ccfe-000001633,企业,企业,enterprise,企業
ccfe-000001634,加载中,加载中,Loading,加載中
ccfe-000001635,省份,省份,province,省份
ccfe-000001636,新增联系人,新增联系人,New contact,新增聯繫人
ccfe-000001637,请选择企业,请选择企业,Please select an enterprise,請選擇企業
ccfe-000001638,请选择省份,请选择省份,Please select a province,請選擇省份
ccfe-000001639,当前用户的角色,当前用户的角色,Role of the current user,當前用戶的角色
ccfe-000001640,省,省,province,省
ccfe-000001641,编辑联系人,编辑联系人,"Edit Contact ",編輯聯繫人
ccfe-000001642,省侧,省侧,Provincial side,省側
ccfe-000001643,组织侧,组织侧,Organizational side,組織側
ccfe-000001644,请输入完整的,请输入完整的,Please enter the complete,請輸入完整的
ccfe-000001645,确定删除联系人吗,确定删除联系人吗,Confirm to delete contact？,確定刪除聯繫人嗎
ccfe-000001646,若该联系人有关联策略,若该联系人有关联策略,If the contact has an associated policy,若該聯繫人有關聯策略
ccfe-000001647,则不可删除,则不可删除,Then it cannot be deleted,則不可刪除
ccfe-000001648,联系人删除成功,联系人删除成功,Contact deleted successfully,聯繫人刪除成功
ccfe-000001649,告警资源池,告警资源池,Alarm resource pool,告警資源池
ccfe-000001650,告警资源类型,告警资源类型,Alarm resource type,告警資源類型
ccfe-000001651,告警等级,告警等级,Alarm level,告警等級
ccfe-000001652,首次告警时间,首次告警时间,First alarm time,首次告警時間
ccfe-000001653,最近告警时间,最近告警时间,Last alarm time,最近告警時間
ccfe-000001654,告警,告警,Alarm,告警
ccfe-000001655,告警规则名称,告警规则名称,Alarm rule name,告警規則名稱
ccfe-000001656,资源池,资源池,Resource pool,資源池
ccfe-000001657,告警信息,告警信息,Alarm information,告警信息
ccfe-000001658,请输入告警,请输入告警,Please enter the alarm,請輸入告警
ccfe-000001659,使用率,使用率,Usage,使用率
ccfe-000001660,异常登录,异常登录,Abnormal login,異常登錄
ccfe-000001661,批量操作,批量操作,Batch operation,批量操作
ccfe-000001662,确认清除已选告警吗,确认清除已选告警吗,Are you sure to clear the selected alarm,確認清除已選告警嗎
ccfe-000001663,清除后的实时告警,清除后的实时告警,Real time alarm after clearing,清除後的實時告警
ccfe-000001664,将自动归档到告警历史,将自动归档到告警历史,Automatically archive to alarm history,將自動歸檔到告警歷史
ccfe-000001665,确认清除此条告警吗,确认清除此条告警吗,Are you sure to clear this alarm,確認清除此條告警嗎
ccfe-000001666,清除成功,清除成功,Clearing succeeded,清除成功
ccfe-000001667,告警值,告警值,Alarm value,告警值
ccfe-000001668,告警详情,告警详情,Alarm details,告警詳情
ccfe-000001669,请输入规则名称,请输入规则名称,Please enter the rule name,請輸入規則名稱
ccfe-000001670,规则名称,规则名称,Rule name,規則名稱
ccfe-000001671,监控项,监控项,Monitoring item,監控項
ccfe-000001672,规则内容,规则内容,Rule content,規則內容
ccfe-000001673,告警级别,告警级别,Alarm level,告警級別
ccfe-000001674,分割参数,分割参数,Split parameters,分割參數
ccfe-000001675,省侧或者企业侧,省侧或者企业侧,Provincial side or enterprise side,省側或者企業側
ccfe-000001676,是否可操作,是否可操作,Operable,是否可操作
ccfe-000001677,企业侧,企业侧,Enterprise side,企業側
ccfe-000001678,确定删除规则,确定删除规则,Confirm Delete Rule,確定刪除規則
ccfe-000001679,删除后可能对您的告警策略有所影响,删除后可能对您的告警策略有所影响,The deletion may affect your alarm strategy,刪除後可能對您的告警策略有所影響
ccfe-000001680,规则描述,规则描述,Rule description,規則描述
ccfe-000001681,启用,启用,Enable,啟用
ccfe-000001682,禁用,禁用,Disable,禁用
ccfe-000001683,条件,条件,condition,條件
ccfe-000001684,阈值,阈值,threshold,閾值
ccfe-000001685,发送通知,发送通知,Send notification,發送通知
ccfe-000001686,告警场景,告警场景,Alarm scenario,告警場景
ccfe-000001687,请选择告警场景,请选择告警场景,Please select alarm scenario,請選擇告警場景
ccfe-000001688,通知发生时,通知发生时,When notification occurs,通知發生時
ccfe-000001689,通知列表,通知列表,Notification List,通知列表
ccfe-000001690,通知方式,通知方式,Notification method,通知方式
ccfe-000001691,邮件,邮件,mail,郵件
ccfe-000001692,短信,短信,message,短信
ccfe-000001693,通知频率,通知频率,Notification frequency,通知頻率
ccfe-000001694,通知时段,通知时段,Notification period,通知時段
ccfe-000001695,选择通知时段,选择通知时段,Select notification window,選擇通知時段
ccfe-000001696,添加联系人,添加联系人,"Add a Contact ",添加聯繫人
ccfe-000001697,同一告警规则最多可选三位联系人,同一告警规则最多可选三位联系人,At most three contacts can be selected for the same alarm rule,同一告警規則最多可選三位聯繫人
ccfe-000001698,新增告警规则,新增告警规则,New alarm rule,新增告警規則
ccfe-000001699,只通知一次,只通知一次,Notify only once,只通知一次
ccfe-000001700,每,每,each,每
ccfe-000001701,小时通知一次,小时通知一次,Once per hour,小時通知一次
ccfe-000001702,告警规则名长度需要,告警规则名长度需要,The length of alarm rule name is required,告警規則名長度需要
ccfe-000001703,个字符,个字符,Characters,個字符
ccfe-000001704,编辑告警规则,编辑告警规则,Edit alarm rule,編輯告警規則
ccfe-000001705,次,次,time,次
ccfe-000001706,告警策略名称,告警策略名称,Alarm policy name,告警策略名稱
ccfe-000001707,请输入告警策略名称,请输入告警策略名称,Please enter the name of the alarm strategy,請輸入告警策略名稱
ccfe-000001708,云电脑范围,云电脑范围,Cloud computer range,雲電腦範圍
ccfe-000001709,部分,部分,part,部分
ccfe-000001710,云电脑列表,云电脑列表,Cloud PC list,雲電腦列表
ccfe-000001711,电脑,电脑,computer,電腦
ccfe-000001712,新增告警策略,新增告警策略,New alarm strategy,新增告警策略
ccfe-000001713,告警策略名称长度需要,告警策略名称长度需要,The length of alarm policy name is required,告警策略名稱長度需要
ccfe-000001714,请选择租户,请选择租户,Please select a tenant,請選擇租戶
ccfe-000001715,请选择云电脑,请选择云电脑,Please select a cloud computer,請選擇雲電腦
ccfe-000001716,编辑告警策略,编辑告警策略,Edit alarm strategy,編輯告警策略
ccfe-000001717,请输入租户,请输入租户,Please enter the tenant,請輸入租戶
ccfe-000001718,规则数,规则数,Number of rules,規則數
ccfe-000001719,关联租户数,关联租户数,Number of associated tenants,關聯租戶數
ccfe-000001720,通知人数,通知人数,Number of notifications,通知人數
ccfe-000001721,查看规则,查看规则,View Rules,查看規則
ccfe-000001722,企业用户,企业用户,Enterprise users,企業用戶
ccfe-000001723,确定删除策略,确定删除策略,Confirm deletion policy,確定刪除策略
ccfe-000001724,镜像状态,镜像状态,"Mirror Status ",鏡像狀態
ccfe-000001725,系统盘(GB),系统盘(GB),System Disk (GB),系統盤(GB)
ccfe-000001726,切换记录,切换记录,Switch record,切換記錄
ccfe-000001727,共享记录,共享记录,Share Records,共享記錄
ccfe-000001728,当前镜像状态不能进行删除操作,当前镜像状态不能进行删除操作,The current mirror state cannot be deleted,當前鏡像狀態不能進行刪除操作
ccfe-000001729,当前镜像状态不能进行重试操作,当前镜像状态不能进行重试操作,The current mirror state cannot be retried,當前鏡像狀態不能進行重試操作
ccfe-000001730,当前镜像在创建中，无法删除，请稍后再试,当前镜像在创建中，无法删除，请稍后再试,The current image is being created and cannot be deleted. Please try again later,當前鏡像在創建中，無法刪除，請稍後再試
ccfe-000001731,当前镜像在创建中，无法重试，请稍后再试,当前镜像在创建中，无法重试，请稍后再试,The current image is being created and cannot be retried. Please try again later,當前鏡像在創建中，無法重試，請稍後再試
ccfe-000001732,当前镜像在删除中，无法删除，请稍后再试,当前镜像在删除中，无法删除，请稍后再试,The current image is being deleted and cannot be deleted. Please try again later,當前鏡像在刪除中，無法刪除，請稍後再試
ccfe-000001733,当前镜像在删除中，请稍后刷新，无法重试，请稍后再试,当前镜像在删除中，请稍后刷新，无法重试，请稍后再试,The current image is being deleted. Please refresh it later. Cannot try again. Please try again later,當前鏡像在刪除中，請稍後刷新，無法重試，請稍後再試
ccfe-000001734,确认重新发起删除镜像操作吗？,确认重新发起删除镜像操作吗？,Are you sure to re initiate the image deletion operation?,確認重新發起刪除鏡像操作嗎？
ccfe-000001735,发起重试成功！,发起重试成功！,Initiate retry successfully!,發起重試成功！
ccfe-000001736,确认重新发起创建镜像操作吗？,确认重新发起创建镜像操作吗？,Are you sure to re initiate the image creation operation?,確認重新發起創建鏡像操作嗎？
ccfe-000001737,发起重试成功!,发起重试成功!,Initiate retry successfully!,發起重試成功!
ccfe-000001738,确认要删除以下镜像吗？,确认要删除以下镜像吗？,Are you sure you want to delete the following images?,確認要刪除以下鏡像嗎？
ccfe-000001739,镜像名称:,镜像名称:,Image name:,鏡像名稱:
ccfe-000001740,镜像ID:,镜像ID:,Mirror ID:,鏡像ID:
ccfe-000001741,镜像范围:,镜像范围:,Mirror range:,鏡像範圍:
ccfe-000001742,发起删除成功!,发起删除成功!,Successfully initiated deletion!,發起刪除成功!
ccfe-000001743,切换开始时间,切换开始时间,Switching start time,切換開始時間
ccfe-000001744,切换结束时间,切换结束时间,Switching end time,切換結束時間
ccfe-000001745,切换结果,切换结果,Switch Result,切換結果
ccfe-000001746,可用区,可用区,Zone,可用區
ccfe-000001747,接收者用户名,接收者用户名,Recipient User Name,接收者用戶名
ccfe-000001748,共享状态,共享状态,Share Status,共享狀態
ccfe-000001749,共享时间,共享时间,Share time,共享時間
ccfe-000001750,未接受,未接受,Not accepted,未接受
ccfe-000001751,已接受,已接受,Accepted,已接受
ccfe-000001752,已拒绝,已拒绝,Rejected,已拒絕
ccfe-000001753,源用户名,源用户名,Source User Name,源用戶名
ccfe-000001754,处理请求,处理请求,Process request,處理請求
ccfe-000001755,移动云用户,移动云用户,Mobile cloud users,移動雲用戶
ccfe-000001756,向您共享了1个镜像文件：,向您共享了1个镜像文件：,Shared 1 image file with you:,向您共享了1個鏡像文件：
ccfe-000001757,请确认是否接受该共享请求？,请确认是否接受该共享请求？,Are you sure you want to accept the sharing request?,請確認是否接受該共享請求？
ccfe-000001758,拒绝,拒绝,refuse,拒絕
ccfe-000001759,接受,接受,accept,接受
ccfe-000001760,日活跃度统计,日活跃度统计,Daily activity statistics,日活躍度統計
ccfe-000001761,月活跃度统计,月活跃度统计,Monthly activity statistics,月活躍度統計
ccfe-000001762,时间选择,时间选择,Time selection,時間選擇
ccfe-000001763,请输入用户名,请输入用户名,Please enter one user name,請輸入用戶名
ccfe-000001764,请输入操作类型,请输入操作类型,Please enter the operation type,請輸入操作類型
ccfe-000001765,导出列表,导出列表,Export List,導出列表
ccfe-000001766,操作路径,操作路径,Operation Path,操作路徑
ccfe-000001767,操作类型,操作类型,Operation type,操作類型
